,Unnamed: 0,DEPT,C1_OBMT,C2_OBMT,CDF_x,CTEM_x,DEVI,DTCO,DTSM,ED,GR_EDTC,GTEM_x,HAZI,HAZIM,ITT,ND,P1AZ,PR,RB,SDEV,SDEVM,SPHI,STIT_x,TENS_x,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO,AORT,AORX,ASFI,ATCO,CDF_y,CFTC,CNTC,CTEM_y,DCAL,DNPH,DPHZ,DPH8,DSOZ,ECGR,GDEV,GR,GTEM_y,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,RHO8,RHOZ,RSOZ,RWA_HILT,RXO8,RXOZ,SP,SPAR,STIT_y,TENS_y,TNPH,Brittleness,facies
0,0.0,10674.5,9.5573,9.6597,1584.108,250.5414,0.1571,54.964,104.8152,-1.7188,36.9706,33.5,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4395.0,27.0121,27.1453,27.0468,27.0166,26.0444,25.8596,26.2682,25.6666,25.457,24.5647,25.4294,25.7803,26.0438,26.0453,25.5989,37.0204,25.457,26.205,-2047.5176,39.3245,807.696,3978.0657,4680.8228,246.5884,-0.1204,-0.007,-0.0136,0.0042,0.0584,36.1876,0.5916,35.605,239.6736,8.6296,-0.0059,-0.1249,31.4065,380.3475,338.629,0.0461,0.1953,0.0372,0.0267,0.0408,4.5472,4.6749,0.0338,2.7028,2.7333,0.0,0.0291,484.4267,443.6214,-2048.0,-2048.0,0.0,3661.0,0.0371,0.7710824983088564,clean
1,1.0,10675.0,9.5493,9.672,1554.957,250.5414,0.1571,54.964,104.8152,-1.7188,35.5745,33.4983,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4459.0,25.6731,25.9684,25.8358,25.8261,25.1129,25.1532,25.572,25.1431,24.8733,24.0224,25.052,25.2935,25.3132,25.3047,24.8793,38.9513,24.8733,25.1987,-2047.9934,39.9169,806.985,3919.166,4563.3843,246.5884,-0.1204,-0.0069,-0.0182,-0.0402,0.0385,39.0401,0.0,38.4116,239.6736,8.6296,-0.0063,-0.111,41.003,315.3355,280.5847,0.0284,0.142,0.0355,0.0301,0.0377,4.7196,4.6143,0.0322,2.7788,2.7411,0.0,0.0257,401.3515,243.8446,-2048.0,-2048.0,0.0,3655.0,0.0357,0.7726668897424849,clean
2,2.0,10675.5,9.5506,9.6614,1598.6836,250.5414,0.1571,54.964,104.8152,-1.7188,33.86,33.4966,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4475.0,24.8649,25.2674,25.0815,25.0413,24.4388,24.3213,23.7571,24.0152,24.0552,23.2592,24.5186,24.518,24.4478,24.9309,23.9181,40.2173,24.0552,24.4133,-2047.5674,40.7854,804.1411,3820.9626,4507.8203,246.5884,-0.1317,-0.007,-0.021,-0.0302,0.0211,41.417,0.0,40.7704,239.6736,8.6183,-0.0048,-0.1005,42.7241,131.419,116.5945,0.0353,0.115,0.0371,0.0311,0.0419,4.5032,4.5648,0.0334,2.7617,2.746,0.0,0.0268,166.613,215.1813,-2048.0,-2048.0,0.0,3631.0,0.0376,0.7736622125661747,clean
3,3.0,10676.0,9.5573,9.6684,1613.259,250.5414,0.1571,54.964,104.8152,-1.7188,31.8951,33.4949,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4434.0,24.451,24.8491,24.5935,24.5014,23.7532,24.57,25.2189,24.763,24.8637,24.0157,23.9874,24.2144,24.1156,24.1877,23.303,40.8981,24.8216,24.725,-2048.126,41.6886,803.4301,3852.2979,4506.7388,246.5884,-0.1429,-0.0069,-0.0206,-0.0126,0.0211,40.3889,0.0,39.778,239.6736,8.6071,-0.0052,-0.0975,36.8095,144.0907,127.882,0.0431,0.1416,0.036,0.0351,0.0346,4.5403,4.5498,0.0325,2.7315,2.7452,0.0,0.0262,182.7731,195.2097,-2048.0,-2048.0,0.0,3639.0,0.0364,0.7734997108806743,clean
4,4.0,10676.5,9.5536,9.6673,1569.5326,250.5414,0.1571,54.964,104.8152,-1.7188,30.794,33.4932,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4435.0,24.227,24.6742,24.3858,24.1406,23.2917,22.2895,22.9323,23.3358,23.0879,22.3432,24.1341,24.3879,24.1779,24.0279,23.1545,41.2762,23.0879,24.2733,-2048.2397,41.4352,804.4965,3799.4998,4537.5752,246.5884,-0.1204,-0.007,-0.0189,-0.0278,0.0375,40.7048,0.0,40.0496,239.6736,8.6296,-0.0067,-0.1016,38.5726,166.6491,147.9744,0.04,0.1909,0.0393,0.0285,0.0413,4.3965,4.5537,0.035,2.7576,2.7424,0.0,0.0283,211.5376,206.9723,-2048.0,-2048.0,0.0,3648.0,0.0392,0.772930954981423,clean
5,5.0,10677.0,9.5536,9.6655,1584.108,250.5414,0.1571,54.964,104.8152,-1.7188,36.6271,33.4915,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4477.0,24.2199,24.7516,24.4803,24.1776,23.3004,30.9163,26.7798,24.8992,24.9544,24.1459,24.6118,24.9975,24.5978,24.1877,23.3085,41.2883,24.4272,24.5577,-2048.2507,40.6309,810.1845,3895.0872,4511.7178,246.5884,-0.1204,-0.0069,-0.0132,-0.0223,0.0739,42.5139,0.0,41.8295,239.6736,8.6296,-0.0095,-0.1205,43.3999,132.8528,117.8717,0.0238,0.2559,0.0353,0.0266,0.0323,4.3911,4.6018,0.0321,2.7481,2.7325,0.0,0.0251,168.4417,215.7558,-2048.0,-2048.0,0.0,3651.0,0.0351,0.7709199966233561,clean
6,6.0,10677.5,9.55,9.6706,1613.259,250.5414,0.1571,54.964,104.8152,-1.7188,38.3887,33.4898,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4358.0,24.5979,25.1522,24.9186,24.5443,23.5834,22.2684,24.0801,22.6961,22.3506,21.6736,23.4566,23.9149,23.5792,23.3891,22.3783,40.6539,22.3506,23.1598,-2048.418,42.632,808.7625,3928.8333,4508.5342,246.5884,-0.1204,-0.0068,-0.0087,-0.0123,0.0973,46.1821,0.0,45.4387,239.6736,8.6296,-0.0114,-0.1423,42.1501,160.3553,142.3692,0.0326,0.2797,0.0343,0.0284,0.0278,4.7011,4.6333,0.0314,2.7311,2.7249,0.0,0.022,203.5136,174.9432,-2048.0,-2048.0,0.0,3650.0,0.0338,0.7693762306111027,clean
7,7.0,10678.0,9.5534,9.6626,1593.7065,250.5414,0.1571,54.964,104.8152,-1.7188,42.548,33.4881,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4445.0,25.3592,25.7637,25.5299,24.8761,23.8389,18.6086,20.7885,20.045,19.7484,19.2191,22.0545,23.0989,23.1893,23.0084,22.0605,39.4334,19.7484,20.9729,-2048.4548,45.3423,811.962,3925.9812,4574.2397,246.5884,-0.1204,-0.0069,-0.0053,0.009,0.1041,52.6773,0.0,51.8293,239.6736,8.6296,-0.0093,-0.1598,49.4056,134.1786,119.0531,0.0524,0.2964,0.0361,0.0367,0.0484,4.593,4.692,0.0335,2.6946,2.7191,0.0,0.0221,170.1333,227.6557,-2048.0,-2048.0,0.0,3655.0,0.0358,0.7681980933912254,shale
8,8.0,10678.5,9.5573,9.6719,1569.5326,250.5414,0.1571,54.964,104.8152,-1.7188,41.8194,33.4864,324.0432,338.9106,0.0423,-1.7748,103.3036,0.2939,139.2643,0.1573,0.1918,-0.0118,0.0,4353.0,26.2959,26.6628,26.5031,25.9355,24.8423,24.9716,26.3188,26.3599,25.657,24.7759,26.9804,27.338,27.0387,26.3161,25.0551,38.0287,25.4187,26.0561,-2048.3416,37.064,808.0515,3911.4968,4644.9805,246.5884,-0.098,-0.007,-0.0106,-0.0262,0.0797,50.3965,0.0,49.5363,239.6736,8.652,-0.0073,-0.1522,63.3616,171.2663,152.0878,0.0407,0.2448,0.0384,0.0313,0.0427,4.4446,4.7371,0.0352,2.7547,2.7281,0.0,0.0315,217.4271,104.4482,-2048.0,-2048.0,0.0,3676.0,0.0384,0.7700262373531043,clean
9,9.0,10679.0,9.5463,9.6684,1535.4045,250.5414,0.1576,54.964,104.8152,-1.7194,44.6375,33.4846,324.4043,339.3679,0.0423,-1.7733,103.2021,0.2939,138.7991,0.1578,0.1933,-0.0118,0.0,4363.0,26.6748,26.8886,26.7072,26.0612,24.9958,40.9565,45.2753,36.0958,34.9523,33.8991,35.4379,34.9862,34.3754,32.7308,31.1228,37.4886,32.1632,31.5612,-2047.9672,28.2183,810.1845,4138.2881,4686.0654,246.5884,-0.1204,-0.0068,-0.0231,-0.0336,0.0598,43.0313,0.0,42.3385,239.6736,8.6296,-0.0021,-0.122,35.9135,61.6469,54.5522,0.0256,0.1423,0.0316,0.0234,0.0274,4.9141,4.7599,0.0285,2.7675,2.7495,0.0,0.026,77.7809,104.3749,-2048.0,-2048.0,0.0,3668.0,0.032,0.7743731574402386,clean
