,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
0,10674.5,8.6296,35.605,54.964,104.8152,0.0267,2.7333,4.6749,clean,1,2
1,10675.0,8.6296,38.4116,54.964,104.8152,0.0301,2.7411,4.6143,clean,1,2
2,10675.5,8.6183,40.7704,54.964,104.8152,0.0311,2.746,4.5648,clean,1,2
3,10676.0,8.6071,39.778,54.964,104.8152,0.0351,2.7452,4.5498,clean,1,2
4,10676.5,8.6296,40.0496,54.964,104.8152,0.0285,2.7424,4.5537,clean,1,2
5,10677.0,8.6296,41.8295,54.964,104.8152,0.0266,2.7325,4.6018,clean,1,2
6,10677.5,8.6296,45.4387,54.964,104.8152,0.0284,2.7249,4.6333,clean,1,2
7,10678.0,8.6296,51.8293,54.964,104.8152,0.0367,2.7191,4.692,shale,2,2
8,10678.5,8.652,49.5363,54.964,104.8152,0.0313,2.7281,4.7371,clean,1,2
9,10679.0,8.6296,42.3385,54.964,104.8152,0.0234,2.7495,4.7599,clean,1,2
10,10679.5,8.6296,35.6914,54.964,104.8152,0.0207,2.7691,4.7035,clean,1,2
11,10680.0,8.6296,35.422,54.964,104.8152,0.0263,2.7616,4.6907,clean,1,2
12,10680.5,8.6296,40.0031,54.964,104.8152,0.0369,2.7433,4.6779,clean,1,2
13,10681.0,8.6183,40.5484,54.964,104.8152,0.0461,2.7361,4.6492,clean,1,2
14,10681.5,8.6296,46.4611,54.964,104.8152,0.0476,2.7359,4.6098,clean,1,2
15,10682.0,8.652,46.4463,54.964,104.8152,0.0457,2.7285,4.6174,clean,1,2
16,10682.5,8.6408,47.9531,54.964,104.8152,0.0421,2.7211,4.644,clean,1,2
17,10683.0,8.6296,43.8489,54.964,104.8152,0.0412,2.719,4.6638,clean,1,2
18,10683.5,8.6296,44.3614,54.964,104.8152,0.0449,2.7183,4.7269,clean,1,2
19,10684.0,8.6296,43.8483,54.964,104.8152,0.0412,2.7122,4.8391,clean,1,2
20,10684.5,8.6296,44.3614,54.964,104.8152,0.0435,2.7054,4.9263,clean,1,2
21,10685.0,8.6296,47.6925,54.964,104.8152,0.0423,2.6981,4.9259,clean,1,2
22,10685.5,8.6296,46.6664,54.964,104.8152,0.0438,2.6994,4.8304,clean,1,2
23,10686.0,8.6183,53.0571,54.964,104.8152,0.0463,2.7085,4.7386,shale,2,2
24,10686.5,8.6296,50.5108,54.964,104.8152,0.0453,2.7181,4.7446,shale,2,2
25,10687.0,8.6296,45.8936,54.964,104.8152,0.0408,2.7215,4.825,clean,1,2
26,10687.5,8.6296,41.025,54.964,104.8152,0.033,2.7237,4.8634,clean,1,2
27,10688.0,8.6296,42.3076,54.964,104.8152,0.0264,2.7256,4.8135,clean,1,2
28,10688.5,8.6296,48.1904,54.964,104.8152,0.034,2.7288,4.7347,clean,1,2
29,10689.0,8.6296,47.9509,54.964,104.8152,0.0366,2.7244,4.7321,clean,1,2
30,10689.5,8.6408,43.5902,54.964,104.8152,0.0395,2.72,4.7782,clean,1,2
31,10690.0,8.6296,39.4903,54.964,104.8152,0.0341,2.7136,4.8458,clean,1,2
32,10690.5,8.6296,39.0995,54.964,104.8152,0.0285,2.7118,4.872,clean,1,2
33,10691.0,8.6296,43.7167,54.964,104.8152,0.0243,2.7172,4.818,clean,1,2
34,10691.5,8.652,43.2163,54.964,104.8152,0.0266,2.7202,4.7547,clean,1,2
35,10692.0,8.652,42.053,54.964,104.8152,0.0328,2.7197,4.7124,clean,1,2
36,10692.5,8.6296,40.0009,54.964,104.8152,0.0376,2.7231,4.6692,clean,1,2
37,10693.0,8.652,41.9515,55.1464,104.8152,0.0358,2.7246,4.66,clean,1,2
38,10693.5,8.652,38.6204,54.7169,104.8152,0.0267,2.7268,4.7025,clean,1,2
39,10694.0,8.652,34.544,54.4515,104.8152,0.0181,2.7259,4.8037,clean,1,2
40,10694.5,8.652,28.4892,53.5188,104.8152,0.0138,2.7293,4.8614,clean,1,2
41,10695.0,8.6296,27.5989,54.4161,104.8152,0.0149,2.7354,4.8391,clean,1,2
42,10695.5,8.652,29.1102,54.6606,104.8152,0.0174,2.7285,4.8214,clean,1,2
43,10696.0,8.652,34.4919,55.1835,104.8152,0.0216,2.726,4.7735,clean,1,2
44,10696.5,8.6296,37.1759,55.1817,104.8152,0.0225,2.7113,4.8177,clean,1,2
45,10697.0,8.6296,32.8151,55.3196,104.8152,0.0207,2.7036,4.9016,clean,1,2
46,10697.5,8.652,30.5715,55.2485,104.8152,0.0139,2.6944,5.031,clean,1,2
47,10698.0,8.6296,29.8028,55.1281,104.8152,0.0152,2.6963,5.09,clean,1,2
48,10698.5,8.6296,34.6833,55.0042,104.8152,0.0184,2.7035,5.0504,clean,1,2
49,10699.0,8.652,35.3811,54.733,104.8152,0.0206,2.7115,4.9368,clean,1,2
50,10699.5,8.6296,36.1699,54.8103,104.8152,0.0215,2.7145,4.8089,clean,1,2
51,10700.0,8.6296,34.0609,55.1431,104.8152,0.0209,2.7097,4.7492,clean,1,2
52,10700.5,8.6296,35.3037,56.3953,104.8152,0.0229,2.7065,4.7737,clean,1,2
53,10701.0,8.652,35.5871,56.5323,104.8152,0.0206,2.7087,4.8483,clean,1,2
54,10701.5,8.652,34.1031,55.4125,104.8152,0.0181,2.716,4.9121,clean,1,2
55,10702.0,8.6296,32.6078,54.7276,104.8152,0.0179,2.7224,4.9284,clean,1,2
56,10702.5,8.652,30.2543,54.529,104.8152,0.0175,2.7244,4.8938,clean,1,2
57,10703.0,8.6296,35.9434,54.7407,104.8152,0.0201,2.7254,4.8124,clean,1,2
58,10703.5,8.6296,38.0368,54.9328,104.8152,0.0226,2.711,4.7877,clean,1,2
59,10704.0,8.6296,40.9884,55.3864,104.8152,0.0298,2.7118,4.7344,clean,1,2
60,10704.5,8.652,39.7739,55.4621,104.8152,0.0281,2.7297,4.7984,clean,1,2
61,10705.0,8.6745,40.2533,56.3138,104.8152,0.0228,2.7571,4.9188,clean,1,2
62,10705.5,8.6296,40.5523,56.6772,104.8152,0.019,2.7706,5.0672,clean,1,2
63,10706.0,8.6183,42.6457,56.8693,104.8152,0.021,2.7523,5.1164,clean,1,2
64,10706.5,8.6296,43.9789,57.0003,104.8152,0.0251,2.7317,5.027,clean,1,2
65,10707.0,8.6183,44.577,57.1627,104.8152,0.0234,2.7254,4.8707,clean,1,2
66,10707.5,8.6296,43.0817,56.6295,104.8152,0.0285,2.7263,4.7574,clean,1,2
67,10708.0,8.6296,44.3137,56.4599,104.732,0.0265,2.7205,4.7555,clean,1,2
68,10708.5,8.652,42.8184,56.4429,105.2175,0.0294,2.7047,4.8149,clean,1,2
69,10709.0,8.652,46.108,55.5607,105.0347,0.0298,2.697,4.8255,clean,1,2
70,10709.5,8.652,46.3732,56.6526,105.6074,0.0379,2.7073,4.7387,clean,1,2
71,10710.0,8.6296,48.1675,57.0599,105.8649,0.044,2.7147,4.6905,clean,1,2
72,10710.5,8.6296,44.5789,57.3895,105.7219,0.0385,2.7225,4.6709,clean,1,2
73,10711.0,8.6296,40.0729,58.362,105.455,0.0378,2.729,4.6797,clean,1,2
74,10711.5,8.652,42.0927,57.1546,104.9022,0.0301,2.7423,4.6756,clean,1,2
75,10712.0,8.6183,40.2984,56.4583,104.2649,0.0301,2.7386,4.7339,clean,1,2
76,10712.5,8.6296,45.0832,55.2607,103.6855,0.0269,2.7369,4.7306,clean,1,2
77,10713.0,8.6296,43.3812,54.9447,103.35,0.0396,2.7268,4.7126,clean,1,2
78,10713.5,8.652,47.5679,55.2344,103.2476,0.0425,2.7363,4.6032,clean,1,2
79,10714.0,8.652,51.1067,56.3217,103.1184,0.0448,2.7342,4.5842,shale,2,2
80,10714.5,8.6296,48.4118,55.5119,102.333,0.0386,2.7366,4.5767,clean,1,2
81,10715.0,8.652,43.0289,54.8662,101.8223,0.0318,2.7274,4.6791,clean,1,2
82,10715.5,8.6408,38.5929,54.3886,101.2018,0.0257,2.7262,4.7826,clean,1,2
83,10716.0,8.652,43.3625,53.3582,100.4585,0.025,2.7258,4.8492,clean,1,2
84,10716.5,8.6296,44.1397,53.0985,99.9895,0.0303,2.7274,4.8525,clean,1,2
85,10717.0,8.6296,44.7378,53.0853,99.7424,0.0348,2.731,4.8235,clean,1,2
86,10717.5,8.6296,38.4711,53.333,99.4658,0.0262,2.7342,4.8381,clean,1,2
87,10718.0,8.6296,40.3854,53.1595,98.5265,0.0207,2.7328,4.8768,clean,1,2
88,10718.5,8.6296,31.7129,52.9415,98.1425,0.0148,2.7317,4.8722,clean,1,2
89,10719.0,8.6071,30.5032,52.8855,98.503,0.012,2.725,4.8649,clean,1,2
90,10719.5,8.6296,29.3585,52.7662,98.5051,0.0111,2.725,4.8272,clean,1,2
91,10720.0,8.6296,31.7509,53.5101,98.8291,0.0114,2.7209,4.8307,clean,1,2
92,10720.5,8.6071,30.8538,53.5313,98.5248,0.0125,2.7141,4.8555,clean,1,2
93,10721.0,8.6296,26.925,53.2459,98.585,0.0118,2.7072,4.8465,clean,1,2
94,10721.5,8.6296,26.3269,52.8131,98.78,0.0108,2.6995,4.8019,clean,1,2
95,10722.0,8.6296,25.6063,52.4799,98.8728,0.0106,2.6989,4.7163,clean,1,2
96,10722.5,8.6071,24.9978,52.6909,99.2359,0.0102,2.7051,4.6695,clean,1,2
